Tagged
"annamh<Aq-s>, , annaimhe<Apc>, , , , annamh<Aq-p>, , annaimh<Aq-smg>, , annaimhe<Aq-sfg>, , annaimh<Aq-sfd>, , , "
"annasach<Aq-s>, , annasaiche<Apc>, , , , annasach<Aq-p>, , annasaich<Aq-smg>, , annasaiche<Aq-sfg>, , annasaich<Aq-sfd>, , , "
"annsa<Aq-s>, , annsa<Apc>, , , , annsa<Aq-p>, , annsa<Aq-smg>, , annsa<Aq-sfg>, , annsa<Aq-sfd>, , , "
"annsail<Aq-s>, , annsaile<Apc>, , , , annsail<Aq-p>, , annsail<Aq-smg>, , annsaile<Aq-sfg>, , annsail<Aq-sfd>, , , "
"annsanta<Aq-s>, , annsanta<Apc>, , , , annsanta<Aq-p>, , annsanta<Aq-smg>, , annsanta<Aq-sfg>, , annsanta<Aq-sfd>, , , "
"ànrach<Aq-s>, , ànraiche<Apc>, , , , ànrach<Aq-p>, , ànraich<Aq-smg>, , ànraiche<Aq-sfg>, , ànraich<Aq-sfd>, , , "
"ànradhach<Aq-s>, ànrathach<Aq-s>, ànrodhach<Aq-s>, , ànradhaiche<Apc>, ànrathaiche<Apc>, ànrodhaiche<Apc>, , , , ànradhach<Aq-p>, ànrathach<Aq-p>, ànrodhach<Aq-p>, , ànradhaich<Aq-smg>, ànrathaich<Aq-smg>, ànrodhaich<Aq-smg>, , ànradhaiche<Aq-sfg>, ànrathaiche<Aq-sfg>, ànrodhaiche<Aq-sfg>, , ànradhaich<Aq-sfd>, ànrathaich<Aq-sfd>, ànrodhaich<Aq-sfd>, , , "
"ànraist<Ncsfn>, , ànraist<Ncsfd>, , ànraiste<Ncsfg>, , , , , , , , , ànraistean<Ncpfn>, , , , , , , , ànraistibh<Ncpfd>, , ànraistean<Ncpfg>, , , , , , , , , , "
"Antartaigeach<Aq-s>, , Antartaigiche<Apc>, , , , Antartaigeach<Aq-p>, , Antartaigich<Aq-smg>, , Antartaigiche<Aq-sfg>, , Antartaigich<Aq-sfd>, , , "
"aobhach<Aq-s>, , aobhaiche<Apc>, , , , aobhach<Aq-p>, , aobhaich<Aq-smg>, , aobhaiche<Aq-sfg>, , aobhaich<Aq-sfd>, , , "
"aodannach<Aq-s>, , aodannaiche<Apc>, , , , aodannach<Aq-p>, , aodannaich<Aq-smg>, , aodannaiche<Aq-sfg>, , aodannaich<Aq-sfd>, , , "
"aodharach<Aq-s>, , aodharaiche<Apc>, , , , aodharach<Aq-p>, , aodharaich<Aq-smg>, , aodharaiche<Aq-sfg>, , aodharaich<Aq-sfd>, , , "
"aog-neulach<Aq-s>, , aog-neulaiche<Apc>, , , , aog-neulach<Aq-p>, , aog-neulaich<Aq-smg>, , aog-neulaiche<Aq-sfg>, , aog-neulaich<Aq-sfd>, , , "
"aogasail<Aq-s>, , aogasaile<Apc>, , , , aogasail<Aq-p>, , aogasail<Aq-smg>, , aogasaile<Aq-sfg>, , aogasail<Aq-sfd>, , , "
"aoghaireach<Aq-s>, , aoghairiche<Apc>, , , , aoghaireach<Aq-p>, , aoghairich<Aq-smg>, , aoghairiche<Aq-sfg>, , aoghairich<Aq-sfd>, , , "
"aoghaireil<Aq-s>, aodhaireil<Aq-s>, , aoghaireile<Apc>, aodhaireile<Apc>, , , , aoghaireil<Aq-p>, aodhaireil<Aq-p>, , aoghaireil<Aq-smg>, aodhaireil<Aq-smg>, , aoghaireile<Aq-sfg>, aodhaireile<Aq-sfg>, , aoghaireil<Aq-sfd>, aodhaireil<Aq-sfd>, , , "
"aognachail<Aq-s>, , aognachaile<Apc>, , , , aognachail<Aq-p>, , aognachail<Aq-smg>, , aognachaile<Aq-sfg>, , aognachail<Aq-sfd>, , , "
"aognaidh<Aq-s>, aognuidh<Aq-s>, , aognaidhe<Apc>, aognuidhe<Apc>, , , , aognaidh<Aq-p>, aognuidh<Aq-p>, , aognaidh<Aq-smg>, aognuidh<Aq-smg>, , aognaidhe<Aq-sfg>, aognuidhe<Aq-sfg>, , aognaidh<Aq-sfd>, aognuidh<Aq-sfd>, , , "
"aoibh<Aq-s>, , aoibhe<Apc>, , , , aoibhe<Aq-p>, , aoibh<Aq-smg>, , aoibhe<Aq-sfg>, , aoibh<Aq-sfd>, , , "
"aoibheach<Aq-s>, , aoibhiche<Apc>, , , , aoibheach<Aq-p>, , aoibhich<Aq-smg>, , aoibhiche<Aq-sfg>, , aoibhich<Aq-sfd>, , , "
"aoibheil<Aq-s>, aoidheil<Aq-s>, , aoibheile<Apc>, aoidheile<Apc>, , , , aoibheil<Aq-p>, aoidheil<Aq-p>, , aoibheil<Aq-smg>, aoidheil<Aq-smg>, , aoibheile<Aq-sfg>, aoidheile<Aq-sfg>, , aoibheil<Aq-sfd>, aoidheil<Aq-sfd>, , , "
"aoibhinn<Aq-s>, , aoibhinne<Apc>, , , , aoibhinn<Aq-p>, , aoibhinn<Aq-smg>, , aoibhinne<Aq-sfg>, , aoibhinn<Aq-sfd>, , , "
"aoibhneach<Aq-s>, , aoibhniche<Apc>, , , , aoibhneach<Aq-p>, , aoibhnich<Aq-smg>, , aoibhniche<Aq-sfg>, , aoibhnich<Aq-sfd>, , , "
"aoibhneasach<Aq-s>, , aoibhneasaiche<Apc>, , , , aoibhneasach<Aq-p>, , aoibhneasaich<Aq-smg>, , aoibhneasaiche<Aq-sfg>, , aoibhneasaich<Aq-sfd>, , , "
"aoibhneil<Aq-s>, , aoibhneile<Apc>, , , , aoibhneil<Aq-p>, , aoibhneil<Aq-smg>, , aoibhneile<Aq-sfg>, , aoibhneil<Aq-sfd>, , , "
"aoidionach<Aq-s>, eu-dìonach<Aq-s>, ao-dìonach<Aq-s>, aoideanach<Aq-s>, , aoidionaiche<Apc>, eu-dìonaiche<Apc>, ao-dìonaiche<Apc>, aoideanaiche<Apc>, , , , aoidionach<Aq-p>, eu-dìonach<Aq-p>, ao-dìonach<Aq-p>, aoideanach<Aq-p>, , aoidionaich<Aq-smg>, eu-dìonaich<Aq-smg>, ao-dìonaich<Aq-smg>, aoideanaich<Aq-smg>, , aoidionaiche<Aq-sfg>, eu-dìonaiche<Aq-sfg>, ao-dìonaiche<Aq-sfg>, aoideanaiche<Aq-sfg>, , aoidionaich<Aq-sfd>, eu-dìonaich<Aq-sfd>, ao-dìonaich<Aq-sfd>, aoideanaich<Aq-sfd>, , , "
"aoigheil<Aq-s>, aoidheil<Aq-s>, aoibheil<Aq-s>, , aoigheile<Apc>, aoidheile<Apc>, aoibheile<Apc>, , , , aoigheil<Aq-p>, aoidheil<Aq-p>, aoibheil<Aq-p>, , aoigheil<Aq-smg>, aoidheil<Aq-smg>, aoibheil<Aq-smg>, , aoigheile<Aq-sfg>, aoidheile<Aq-sfg>, aoibheile<Aq-sfg>, , aoigheil<Aq-sfd>, aoidheil<Aq-sfd>, aoibheil<Aq-sfd>, , , "
"aointe<Aq-s>, , aointe<Apc>, , , , aointe<Aq-p>, , aointe<Aq-smg>, , aointe<Aq-sfg>, , aointe<Aq-sfd>, , , "
"aoireil<Aq-s>, , aoireile<Apc>, , , , aoireil<Aq-p>, , aoireil<Aq-smg>, , aoireile<Aq-sfg>, , aoireil<Aq-sfd>, , , "
"aon-chasach<Aq-s>, , aon-chasaiche<Apc>, , , , aon-chasach<Aq-p>, , aon-chasaich<Aq-smg>, , aon-chasaiche<Aq-sfg>, , aon-chasaich<Aq-sfd>, , , "
"aona-cheallach<Aq-s>, aon-cheallach<Aq-s>, , aona-cheallaiche<Apc>, aon-cheallaiche<Apc>, , , , aona-cheallach<Aq-p>, aon-cheallach<Aq-p>, , aona-cheallaich<Aq-smg>, aon-cheallaich<Aq-smg>, , aona-cheallaiche<Aq-sfg>, aon-cheallaiche<Aq-sfg>, , aona-cheallaich<Aq-sfd>, aon-cheallaich<Aq-sfd>, , , "
"aon-chinnidheach<Aq-s>, , aon-chinnidhiche<Apc>, , , , aon-chinnidheach<Aq-p>, , aon-chinnidhich<Aq-smg>, , aon-chinnidhiche<Aq-sfg>, , aon-chinnidhich<Aq-sfd>, , , "
"aon-chruthach<Aq-s>, , aon-chruthaiche<Apc>, , , , aon-chruthach<Aq-p>, , aon-chruthaich<Aq-smg>, , aon-chruthaiche<Aq-sfg>, , aon-chruthaich<Aq-sfd>, , , "
"aon-deònach<Aq-s>, , aon-deònaiche<Apc>, , , , aon-deònach<Aq-p>, , aon-deònaich<Aq-smg>, , aon-deònaiche<Aq-sfg>, , aon-deònaich<Aq-sfd>, , , "
"aon-diathach<Aq-s>, aon-diadhach<Aq-s>, , aon-diathaiche<Apc>, aon-diadhaiche<Apc>, , , , aon-diathach<Aq-p>, aon-diadhach<Aq-p>, , aon-diathaich<Aq-smg>, aon-diadhaich<Aq-smg>, , aon-diathaiche<Aq-sfg>, aon-diadhaiche<Aq-sfg>, , aon-diathaich<Aq-sfd>, aon-diadhaich<Aq-sfd>, , , "
"aon-dimeinseanach<Aq-s>, , aon-dimeinseanaiche<Apc>, , , , aon-dimeinseanach<Aq-p>, , aon-dimeinseanaich<Aq-smg>, , aon-dimeinseanaiche<Aq-sfg>, , aon-dimeinseanaich<Aq-sfd>, , , "
"aon-duanach<Aq-s>, , aon-duanaiche<Apc>, , , , aon-duanach<Aq-p>, , aon-duanaich<Aq-smg>, , aon-duanaiche<Aq-sfg>, , aon-duanaich<Aq-sfd>, , , "
"aon-duilleagach<Aq-s>, , aon-duilleagaiche<Apc>, , , , aon-duilleagach<Aq-p>, , aon-duilleagaich<Aq-smg>, , aon-duilleagaiche<Aq-sfg>, , aon-duilleagaich<Aq-sfd>, , , "
"aon-fhaclach<Aq-s>, , , , , , aon-fhaclach<Aq-p>, , aon-fhaclaich<Aq-smg>, , aon-fhaclaiche<Aq-sfg>, , aon-fhaclaich<Aq-sfd>, , , "
"aon-fhillte<Aq-s>, , aon-fhillte<Apc>, , , , aon-fhillte<Aq-p>, , aon-fhillte<Aq-smg>, , aon-fhillte<Aq-sfg>, , aon-fhillte<Aq-sfd>, , , "
"aon-fhoirmeach<Aq-s>, , aon-fhoirmiche<Apc>, , , , aon-fhoirmeach<Aq-p>, , aon-fhoirmich<Aq-smg>, , aon-fhoirmiche<Aq-sfg>, , aon-fhoirmich<Aq-sfd>, , , "
"aon-fhuaimneach<Aq-s>, , aon-fhuaimniche<Apc>, , , , aon-fhuaimneach<Aq-p>, , aon-fhuaimnich<Aq-smg>, , aon-fhuaimniche<Aq-sfg>, , aon-fhuaimnich<Aq-sfd>, , , "
"aon-ghnèitheach<Aq-s>, , aon-ghnèithiche<Apc>, , , , aon-ghnèitheach<Aq-p>, , aon-ghnèithich<Aq-smg>, , aon-ghnèithiche<Aq-sfg>, , aon-ghnèithich<Aq-sfd>, , , "
"aon-ghuthach<Aq-s>, , aon-ghuthaiche<Apc>, , , , aon-ghuthach<Aq-p>, , aon-ghuthaich<Aq-smg>, , aon-ghuthaiche<Aq-sfg>, , aon-ghuthaich<Aq-sfd>, , , "
"aon-inntinneach<Aq-s>, , aon-inntinniche<Apc>, , , , aon-inntinneach<Aq-p>, , aon-inntinnich<Aq-smg>, , aon-inntinniche<Aq-sfg>, , aon-inntinnich<Aq-sfd>, , , "
"aona-lideach<Aq-s>, aon-lideach<Aq-s>, , aona-lidiche<Apc>, aon-lidiche<Apc>, , , , aona-lideach<Aq-p>, aon-lideach<Aq-p>, , aona-lidich<Aq-smg>, aon-lidich<Aq-smg>, , aona-lidiche<Aq-sfg>, aon-lidiche<Aq-sfg>, , aona-lidich<Aq-sfd>, aon-lidich<Aq-sfd>, , , "
"aon-neo-shùighte<Aq-s>, , aon-neo-shùighte<Apc>, , , , aon-neo-shùighte<Aq-p>, , aon-neo-shùighte<Aq-smg>, , aon-neo-shùighte<Aq-sfg>, , aon-neo-shùighte<Aq-sfd>, , , "
"aon-seasmhach<Aq-s>, , aon-seasmhaiche<Apc>, , , , aon-seasmhach<Aq-p>, , aon-seasmhaich<Aq-smg>, , aon-seasmhaiche<Aq-sfg>, , aon-seasmhaich<Aq-sfd>, , , "
"aon-seòrsach<Aq-s>, , aon-seòrsaiche<Apc>, , , , aon-seòrsach<Aq-p>, , aon-seòrsaich<Aq-smg>, , aon-seòrsaiche<Aq-sfg>, , aon-seòrsaich<Aq-sfd>, , , "
"aon-siolach<Aq-s>, , aon-siolaiche<Apc>, , , , aon-siolach<Aq-p>, , aon-siolaich<Aq-smg>, , aon-siolaiche<Aq-sfg>, , aon-siolaich<Aq-sfd>, , , "
"aon-shligheach<Aq-s>, aon-sligheach<Aq-s>, , aon-shlighiche<Apc>, aon-slighiche<Apc>, , , , aon-shligheach<Aq-p>, aon-sligheach<Aq-p>, , aon-shlighich<Aq-smg>, aon-slighich<Aq-smg>, , aon-shlighiche<Aq-sfg>, aon-slighiche<Aq-sfg>, , aon-shlighich<Aq-sfd>, aon-slighich<Aq-sfd>, , , "
"aon-taobhach<Aq-s>, , aon-taobhaiche<Apc>, , , , aon-taobhach<Aq-p>, , aon-taobhaich<Aq-smg>, , aon-taobhaiche<Aq-sfg>, , aon-taobhaich<Aq-sfd>, , , "
"aon-taobhachail<Aq-s>, , aon-taobhachaile<Apc>, , , , aon-taobhachail<Aq-p>, , aon-taobhachail<Aq-smg>, , aon-taobhachaile<Aq-sfg>, , aon-taobhachail<Aq-sfd>, , , "
"aon-toileach<Aq-s>, , aon-toiliche<Apc>, , , , aon-toileach<Aq-p>, , aon-toilich<Aq-smg>, , aon-toiliche<Aq-sfg>, , aon-toilich<Aq-sfd>, , , "
"aonadach<Aq-s>, , aonadaiche<Apc>, , , , aonadach<Aq-p>, , aonadaich<Aq-smg>, , aonadaiche<Aq-sfg>, , aonadaich<Aq-sfd>, , , "
"aonaichte<Aq-s>, Aonaichte<Aq-s>, , aonaichte<Apc>, Aonaichte<Apc>, , , , aonaichte<Aq-p>, Aonaichte<Aq-p>, , aonaichte<Aq-smg>, Aonaichte<Aq-smg>, , aonaichte<Aq-sfg>, Aonaichte<Aq-sfg>, , aonaichte<Aq-sfd>, Aonaichte<Aq-sfd>, , , "
", "
", "
"aonarach<Aq-s>, , aonaraiche<Apc>, , , , aonarach<Aq-p>, , aonaraich<Aq-smg>, , aonaraiche<Aq-sfg>, , aonaraich<Aq-sfd>, , , "
"aonaraidh<Aq-s>, , aonaraidhe<Apc>, , , , aonaraidh<Aq-p>, , aonaraidh<Aq-smg>, , aonaraidhe<Aq-sfg>, , aonaraidh<Aq-sfd>, , , "
"aonarail<Aq-s>, , aonaraile<Apc>, , , , aonarail<Aq-p>, , aonarail<Aq-smg>, , aonaraile<Aq-sfg>, , aonarail<Aq-sfd>, , , "
"aonaranach<Aq-s>, aonranach<Aq-s>, , aonaranaiche<Apc>, aonranaiche<Apc>, , , , aonaranach<Aq-p>, aonranach<Aq-p>, , aonaranaich<Aq-smg>, aonranaich<Aq-smg>, , aonaranaiche<Aq-sfg>, aonranaiche<Aq-sfg>, , aonaranaich<Aq-sfd>, aonranaich<Aq-sfd>, , , "
"aonrachdanach<Aq-s>, , aonrachdanaiche<Apc>, , , , aonrachdanach<Aq-p>, , aonrachdanaich<Aq-smg>, , aonrachdanaiche<Aq-sfg>, , aonrachdanaich<Aq-sfd>, , , "
"aonraganach<Aq-s>, , aonraganaiche<Apc>, , , , aonraganach<Aq-p>, , aonraganaich<Aq-smg>, , aonraganaiche<Aq-sfg>, , aonraganaich<Aq-sfd>, , , "
"aonranachdach<Aq-s>, , aonranachdaiche<Apc>, , , , aonranachdach<Aq-p>, , aonranachdaich<Aq-smg>, , aonranachdaiche<Aq-sfg>, , aonranachdaich<Aq-sfd>, , , "
"aontach<Aq-s>, , aontaiche<Apc>, , , , aontach<Aq-p>, , aontaich<Aq-smg>, , aontaiche<Aq-sfg>, , aontaich<Aq-sfd>, , , "
"aontachail<Aq-s>, , aontachaile<Apc>, , , , aontachail<Aq-p>, , aontachail<Aq-smg>, , aontachaile<Aq-sfg>, , aontachail<Aq-sfd>, , , "
"aontaichte<Aq-s>, , aontaichte<Apc>, , , , aontaichte<Aq-p>, , aontaichte<Aq-smg>, , aontaichte<Aq-sfg>, , aontaichte<Aq-sfd>, , , "
"aontamhach<Aq-s>, , aontamhaiche<Apc>, , , , aontamhach<Aq-p>, , aontamhaich<Aq-smg>, , aontamhaiche<Aq-sfg>, , aontamhaich<Aq-sfd>, , , "
"aosmhor<Aq-s>, aosar<Aq-s>, , aosmhoire<Apc>, aosaire<Apc>, , , , aosmhor<Aq-p>, aosar<Aq-p>, , aosmhoir<Aq-smg>, aosair<Aq-smg>, , aosmhoire<Aq-sfg>, aosaire<Aq-sfg>, , aosmhoir<Aq-sfd>, aosair<Aq-sfd>, , , "
"aosta<Aq-s>, aost<Aq-s>, aosda<Aq-s>, aosd<Aq-s>, , aosta<Apc>, aost<Apc>, aosda<Apc>, aosd<Apc>, , , , aosta<Aq-p>, aost<Aq-p>, aosda<Aq-p>, aosd<Aq-p>, , aosta<Aq-smg>, aost<Aq-smg>, aosda<Aq-smg>, aosd<Aq-smg>, , aosta<Aq-sfg>, aost<Aq-sfg>, aosda<Aq-sfg>, aosd<Aq-sfg>, , aosta<Aq-sfd>, aost<Aq-sfd>, aosda<Aq-sfd>, aosd<Aq-sfd>, , , "
"aotram<Aq-s>, aotrom<Aq-s>, , aotraime<Apc>, aotruime<Apc>, , aotromad<Aps>, , aotram<Aq-p>, , aotraim<Aq-smg>, aotruim<Aq-smg>, , aotraime<Aq-sfg>, aotruime<Aq-sfg>, , aotraim<Aq-sfd>, aotruim<Aq-sfd>, , , "
"aotromaichte<Aq-s>, , aotromaichte<Apc>, , , , aotromaichte<Aq-p>, , aotromaichte<Aq-smg>, , aotromaichte<Aq-sfg>, , aotromaichte<Aq-sfd>, , , "
"apail<Aq-s>, , apaile<Apc>, , , , apail<Aq-p>, , apail<Aq-smg>, , apaile<Aq-sfg>, , apail<Aq-sfd>, , , "
"aparr<Aq-s>, , aparra<Apc>, , , , aparr<Aq-p>, , apairr<Aq-smg>, , apairre<Aq-sfg>, , apairr<Aq-sfd>, , , "
"apocailipteach<Aq-s>, , apocailiptiche<Apc>, , , , apocailipteach<Aq-p>, , apocailiptich<Aq-smg>, , apocailiptiche<Aq-sfg>, , apocailiptich<Aq-sfd>, , , "
"ar<Aq-s>, , aire<Apc>, , , , ara<Aq-p>, , air<Aq-smg>, , aire<Aq-sfg>, , air<Aq-sfd>, , , "
"Arabach<Aq-s>, , Arabaiche<Apc>, , , , Arabach<Aq-p>, , Arabaich<Aq-smg>, , Arabaiche<Aq-sfg>, , Arabaich<Aq-sfd>, , , "
"àraid<Aq-s>, àirid<Aq-s>, , àraide<Apc>, àiride<Apc>, , , , àraid<Aq-p>, àirid<Aq-p>, , àraid<Aq-smg>, àirid<Aq-smg>, , àraide<Aq-sfg>, àiride<Aq-sfg>, , àraid<Aq-sfd>, àirid<Aq-sfd>, , , "
"àraidh<Aq-s>, , àraidhe<Apc>, , àraidhead<Aps>, , àraidh<Aq-p>, , àraidh<Aq-smg>, , àraidhe<Aq-sfg>, , àraidh<Aq-sfd>, , , "
"àraidhichte<Aq-s>, , àraidhichte<Apc>, , , , àraidhichte<Aq-p>, , àraidhichte<Aq-smg>, , àraidhichte<Aq-sfg>, , àraidhichte<Aq-sfd>, , , "
"Arainneach<Aq-s>, , Arainniche<Apc>, , , , Arainneach<Aq-p>, , Arainnich<Aq-smg>, , Arainniche<Aq-sfg>, , Arainnich<Aq-sfd>, , , "
"àrainneachail<Aq-s>, , àrainneachaile<Apc>, , , , àrainneachail<Aq-p>, , àrainneachail<Aq-smg>, , àrainneachaile<Aq-sfg>, , àrainneachail<Aq-sfd>, , , "
"àrainneachdail<Aq-s>, , àrainneachdaile<Apc>, , , , àrainneachdail<Aq-p>, , àrainneachdail<Aq-smg>, , àrainneachdaile<Aq-sfg>, , àrainneachdail<Aq-sfd>, , , "
"aramachach<Aq-s>, , aramachaiche<Apc>, , , , aramachach<Aq-p>, , aramachaich<Aq-smg>, , aramachaiche<Aq-sfg>, , aramachaich<Aq-sfd>, , , "
"Arannach<Aq-s>, , Arannaiche<Apc>, , , , Arannach<Aq-p>, , Arannaich<Aq-smg>, , Arannaiche<Aq-sfg>, , Arannaich<Aq-sfd>, , , "
"àranta<Aq-s>, , àranta<Apc>, , , , àranta<Aq-p>, , àranta<Aq-smg>, , àranta<Aq-sfg>, , àranta<Aq-sfd>, , , "
"àrc-eòlach<Aq-s>, , àrc-eòlaiche<Apc>, , , , àrc-eòlach<Aq-p>, , àrc-eòlaich<Aq-smg>, , àrc-eòlaiche<Aq-sfg>, , àrc-eòlaich<Aq-sfd>, , , "
"Arcach<Aq-s>, , Arcaiche<Apc>, , , , Arcach<Aq-p>, , Arcaich<Aq-smg>, , Arcaiche<Aq-sfg>, , Arcaich<Aq-sfd>, , , "
"arcach<Aq-s>, , arcaiche<Apc>, , , , arcach<Aq-p>, , arcaich<Aq-smg>, , arcaiche<Aq-sfg>, , arcaich<Aq-sfd>, , , "
"àrd<Aq-s>, , àirde<Apc>, , àirdead<Aps>, , àrda<Aq-p>, , àird<Aq-smg>, , àirde<Aq-sfg>, , àird<Aq-sfd>, , , "
"àrd-aigneach<Aq-s>, , àrd-aigniche<Apc>, , , , àrd-aigneach<Aq-p>, , àrd-aignich<Aq-smg>, , àrd-aigniche<Aq-sfg>, , àrd-aignich<Aq-sfd>, , , "
"àrd-aingealach<Aq-s>, , àrd-aingealaiche<Apc>, , , , àrd-aingealach<Aq-p>, , àrd-aingealaich<Aq-smg>, , àrd-aingealaiche<Aq-sfg>, , àrd-aingealaich<Aq-sfd>, , , "
"àrd-amasach<Aq-s>, , àrd-amasaiche<Apc>, , , , àrd-amasach<Aq-p>, , àrd-amasaich<Aq-smg>, , àrd-amasaiche<Aq-sfg>, , àrd-amasaich<Aq-sfd>, , , "
"àrd-aoibhneach<Aq-s>, , àrd-aoibhniche<Apc>, , , , àrd-aoibhneach<Aq-p>, , àrd-aoibhnich<Aq-smg>, , àrd-aoibhniche<Aq-sfg>, , àrd-aoibhnich<Aq-sfd>, , , "
"àrd-bheachdail<Aq-s>, , àrd-bheachdaile<Apc>, , , , àrd-bheachdail<Aq-p>, , àrd-bheachdail<Aq-smg>, , àrd-bheachdaile<Aq-sfg>, , àrd-bheachdail<Aq-sfd>, , , "
"àrd-bhriathrach<Aq-s>, , àrd-bhriathraiche<Apc>, , , , àrd-bhriathrach<Aq-p>, , àrd-bhriathraich<Aq-smg>, , àrd-bhriathraiche<Aq-sfg>, , àrd-bhriathraich<Aq-sfd>, , , "
"àrd-cheannach<Aq-s>, , àrd-cheannaiche<Apc>, , , , àrd-cheannach<Aq-p>, , àrd-cheannaich<Aq-smg>, , àrd-cheannaiche<Aq-sfg>, , àrd-cheannaich<Aq-sfd>, , , "
"àrd-chomasach<Aq-s>, , àrd-chomasaiche<Apc>, , , , àrd-chomasach<Aq-p>, , àrd-chomasaich<Aq-smg>, , àrd-chomasaiche<Aq-sfg>, , àrd-chomasaich<Aq-sfd>, , , "
"àrd-chùiseach<Aq-s>, , àrd-chùisiche<Apc>, , , , àrd-chùiseach<Aq-p>, , àrd-chùisich<Aq-smg>, , àrd-chùisiche<Aq-sfg>, , àrd-chùisich<Aq-sfd>, , , "
"àrd-easbaigeach<Aq-s>, , àrd-easbaigiche<Apc>, , , , àrd-easbaigeach<Aq-p>, , àrd-easbaigich<Aq-smg>, , àrd-easbaigiche<Aq-sfg>, , àrd-easbaigich<Aq-sfd>, , , "
"àrd-éibhneach<Aq-s>, àrd-èibhneach<Aq-s>, , àrd-éibhniche<Apc>, àrd-èibhniche<Apc>, , , , àrd-éibhneach<Aq-p>, àrd-èibhneach<Aq-p>, , àrd-éibhnich<Aq-smg>, àrd-èibhnich<Aq-smg>, , àrd-éibhniche<Aq-sfg>, àrd-èibhniche<Aq-sfg>, , àrd-éibhnich<Aq-sfd>, àrd-èibhnich<Aq-sfd>, , , "
"àrd-fhoghlamaichte<Aq-s>, , àrd-fhoghlamaichte<Apc>, , , , àrd-fhoghlamaichte<Aq-p>, , àrd-fhoghlamaichte<Aq-smg>, , àrd-fhoghlamaichte<Aq-sfg>, , àrd-fhoghlamaichte<Aq-sfd>, , , "
"àrd-fhuaimneach<Aq-s>, , àrd-fhuaimniche<Apc>, , , , àrd-fhuaimneach<Aq-p>, , àrd-fhuaimnich<Aq-smg>, , àrd-fhuaimniche<Aq-sfg>, , àrd-fhuaimnich<Aq-sfd>, , , "
"àrd-ghlòrach<Aq-s>, , àrd-ghlòraiche<Apc>, , , , àrd-ghlòrach<Aq-p>, , àrd-ghlòraich<Aq-smg>, , àrd-ghlòraiche<Aq-sfg>, , àrd-ghlòraich<Aq-sfd>, , , "
"àrd-ghuailleach<Aq-s>, , àrd-ghuailliche<Apc>, , , , àrd-ghuailleach<Aq-p>, , àrd-ghuaillich<Aq-smg>, , àrd-ghuailliche<Aq-sfg>, , àrd-ghuaillich<Aq-sfd>, , , "
"àrd-ghuthach<Aq-s>, , àrd-ghuthaiche<Apc>, , , , àrd-ghuthach<Aq-p>, , àrd-ghuthaich<Aq-smg>, , àrd-ghuthaiche<Aq-sfg>, , àrd-ghuthaich<Aq-sfd>, , , "
"àrd-inbheach<Aq-s>, , àrd-inbhiche<Apc>, , , , àrd-inbheach<Aq-p>, , àrd-inbhich<Aq-smg>, , àrd-inbhiche<Aq-sfg>, , àrd-inbhich<Aq-sfd>, , , "
"àrd-inntinneach<Aq-s>, , àrd-inntinniche<Apc>, , , , àrd-inntinneach<Aq-p>, , àrd-inntinnich<Aq-smg>, , àrd-inntinniche<Aq-sfg>, , àrd-inntinnich<Aq-sfd>, , , "
"àrd-inntleachdail<Aq-s>, , àrd-inntleachdaile<Apc>, , , , àrd-inntleachdail<Aq-p>, , àrd-inntleachdail<Aq-smg>, , àrd-inntleachdaile<Aq-sfg>, , àrd-inntleachdail<Aq-sfd>, , , "
"àrd-labhrach<Aq-s>, , àrd-labhraiche<Apc>, , , , àrd-labhrach<Aq-p>, , àrd-labhraich<Aq-smg>, , àrd-labhraiche<Aq-sfg>, , àrd-labhraich<Aq-sfd>, , , "
"àrd-theicneolach<Aq-s>, , àrd-theicneolaiche<Apc>, , , , àrd-theicneolach<Aq-p>, , àrd-theicneolaich<Aq-smg>, , àrd-theicneolaiche<Aq-sfg>, , àrd-theicneolaich<Aq-sfd>, , , "
"àrd-tìreach<Aq-s>, àrd-thìreach<Aq-s>, , àrd-tìriche<Apc>, àrd-thìriche<Apc>, , , , àrd-tìreach<Aq-p>, àrd-thìreach<Aq-p>, , àrd-tìrich<Aq-smg>, àrd-thìrich<Aq-smg>, , àrd-tìriche<Aq-sfg>, àrd-thìriche<Aq-sfg>, , àrd-tìrich<Aq-sfd>, àrd-thìrich<Aq-sfd>, , , "
"àrd-togte<Aq-s>, àrd-thogte<Aq-s>, , àrd-togte<Apc>, àrd-thogte<Apc>, , , , àrd-togte<Aq-p>, àrd-thogte<Aq-p>, , àrd-togte<Aq-smg>, àrd-thogte<Aq-smg>, , àrd-togte<Aq-sfg>, àrd-thogte<Aq-sfg>, , àrd-togte<Aq-sfd>, àrd-thogte<Aq-sfd>, , , "
"àrdaichte<Aq-s>, , àrdaichte<Apc>, , , , àrdaichte<Aq-p>, , àrdaichte<Aq-smg>, , àrdaichte<Aq-sfg>, , àrdaichte<Aq-sfd>, , , "
"àrdail<Aq-s>, , àrdaile<Apc>, , , , àrdail<Aq-p>, , àrdail<Aq-smg>, , àrdaile<Aq-sfg>, , àrdail<Aq-sfd>, , , "
"àrdanach<Aq-s>, , àrdanaiche<Apc>, , , , àrdanach<Aq-p>, , àrdanaich<Aq-smg>, , àrdanaiche<Aq-sfg>, , àrdanaich<Aq-sfd>, , , "
